"OrphaCode","Name","DisorderGroup","gene_count","onset_count","inheritance_count","avg_prevalence"
261,Emery-Dreifuss muscular dystrophy,Disorder,0,1,1,0.3
262,Duchenne and Becker muscular dystrophy,Group of disorders,0,1,1,0.07666666666666667
263,Limb-girdle muscular dystrophy,Group of disorders,0,1,1,2.5812500000000003
264,Autosomal dominant limb-girdle muscular dystrophy type 1B,Disorder,0,0,0,
265,Autosomal dominant limb-girdle muscular dystrophy type 1C,Disorder,0,0,0,
266,Autosomal dominant limb-girdle muscular dystrophy type 1A,Disorder,0,0,0,
267,Calpain-3-related limb-girdle muscular dystrophy R1,Disorder,1,1,1,2.0124999999999997
268,Dysferlin-related limb-girdle muscular dystrophy R2,Disorder,1,1,1,0.065
269,Facioscapulohumeral dystrophy,Disorder,5,1,1,4.525
270,Oculopharyngeal muscular dystrophy,Disorder,1,1,1,67.0
272,"Congenital muscular dystrophy, Fukuyama type",Disorder,1,1,1,1.4
273,Steinert myotonic dystrophy,Disorder,0,1,1,26.065625
274,Bernard-Soulier syndrome,Disorder,3,1,1,50.0
275,Severe combined immunodeficiency due to DCLRE1C deficiency,Disorder,1,1,1,0.0
276,T-B+ severe combined immunodeficiency due to gamma chain deficiency,Disorder,1,1,1,0.0
277,Severe combined immunodeficiency due to adenosine deaminase deficiency,Disorder,1,1,1,0.25
278,OBSOLETE: Corticobasal degeneration,Disorder,0,0,0,
279,NON RARE IN EUROPE: Age-related macular degeneration,Disorder,0,0,0,
280,Wolf-Hirschhorn syndrome,Disorder,6,1,1,1.0
281,Monosomy 5p syndrome,Disorder,2,1,1,3.0733333333333337
282,Frontotemporal dementia,Group of disorders,0,1,1,3.025
283,Demodicidosis,Disorder,0,0,0,
284,Alveolar echinococcosis,Disorder,0,1,1,0.5433333333333333
285,Hypermobile Ehlers-Danlos syndrome,Disorder,0,1,1,12.5
286,Vascular Ehlers-Danlos syndrome,Disorder,1,1,1,1.0
287,Classical Ehlers-Danlos syndrome,Disorder,3,1,1,5.0
288,Hereditary elliptocytosis,Disorder,4,1,1,0.0
289,Ellis Van Creveld syndrome,Disorder,6,1,1,125.375
290,Congenital rubella syndrome,Disorder,0,1,1,0.42
291,Congenital varicella syndrome,Disorder,0,1,1,65.0
292,Congenital enterovirus infection,Disorder,0,1,1,0.0
293,Congenital herpes simplex virus infection,Disorder,0,1,1,2.733333333333333
294,Fetal cytomegalovirus syndrome,Disorder,0,1,1,40.0
295,Fetal parvovirus syndrome,Disorder,0,1,1,0.0
296,Ollier disease,Disorder,3,1,1,1.0
297,Tick-borne encephalitis,Disorder,0,1,1,0.0
298,Mitochondrial neurogastrointestinal encephalomyopathy,Disorder,4,1,1,0.3
300,Bifunctional enzyme deficiency,Disorder,2,1,1,
301,Ependymal tumor,Group of disorders,0,1,1,0.9359999999999999
302,Inherited epidermodysplasia verruciformis,Disorder,4,1,1,100.0
303,Dystrophic epidermolysis bullosa,Group of disorders,0,1,1,0.6031428571428571
304,Epidermolysis bullosa simplex,Group of disorders,0,1,1,0.6557499999999999
305,Junctional epidermolysis bullosa,Group of disorders,0,1,1,0.1623076923076923
306,Self-limited infantile epilepsy,Disorder,5,1,1,0.0
307,Juvenile myoclonic epilepsy,Disorder,8,1,1,0.85
308,Progressive myoclonic epilepsy type 1,Disorder,3,1,1,3.5
309,Familial partial epilepsy,Group of disorders,0,0,0,
310,Reflex epilepsy,Group of disorders,0,1,1,0.0
312,Autosomal dominant epidermolytic ichthyosis,Disorder,2,1,1,0.27434
313,Lamellar ichthyosis,Disorder,10,1,1,0.48333333333333334
